diff;diff2;timebin;season;SA;Estimate_log;pd_log;Estimate_logexp;pd_logexp
35 - 30;NA;NA;TRUE;NA;-0.02 [-0.06, 0.00];95.67%;-0.04 [-0.13, 0.01];95.67%
35 - 30;NA;NA;NA;SA;-0.01 [-0.04, 0.01];83.43%;-0.01 [-0.09, 0.02];83.43%
35 - 30;NA;NA;NA;nonSA;-0.00 [-0.03, 0.02];63.80%;-0.00 [-0.08, 0.04];63.80%
35 - 30;NA;NA;NA;NA;-0.00 [-0.03, 0.01];80.73%;-0.01 [-0.08, 0.03];80.73%
40 - 35;NA;NA;FALSE;SA;0.01 [-0.02, 0.04];69.58%;0.01 [-0.05, 0.09];69.58%
40 - 35;NA;NA;FALSE;nonSA;0.01 [-0.02, 0.04];83.85%;0.03 [-0.04, 0.11];83.85%
40 - 35;NA;NA;FALSE;NA;0.01 [-0.02, 0.04];79.65%;0.02 [-0.04, 0.10];79.65%
40 - 35;NA;NA;TRUE;SA;-0.02 [-0.05, 0.00];94.90%;-0.03 [-0.12, 0.01];94.90%
40 - 35;NA;NA;TRUE;nonSA;-0.01 [-0.05, 0.01];89.40%;-0.03 [-0.12, 0.02];89.40%
40 - 35;NA;NA;TRUE;NA;-0.02 [-0.05, 0.00];96.45%;-0.03 [-0.11, 0.00];96.45%
40 - 35;NA;NA;NA;SA;-0.00 [-0.03, 0.01];84.30%;-0.01 [-0.07, 0.02];84.30%
40 - 35;NA;NA;NA;nonSA;-0.00 [-0.02, 0.02];60.25%;-0.00 [-0.06, 0.04];60.25%
40 - 35;NA;NA;NA;NA;-0.00 [-0.02, 0.01];80.73%;-0.01 [-0.06, 0.02];80.73%
45 - 40;NA;NA;FALSE;SA;0.00 [-0.03, 0.04];64.10%;0.01 [-0.07, 0.10];64.10%
45 - 40;NA;NA;FALSE;nonSA;0.01 [-0.02, 0.04];78.30%;0.02 [-0.05, 0.11];78.30%
45 - 40;NA;NA;FALSE;NA;0.01 [-0.02, 0.04];73.52%;0.02 [-0.06, 0.10];73.52%
45 - 40;NA;NA;TRUE;SA;-0.02 [-0.06, 0.00];95.08%;-0.04 [-0.12, 0.01];95.08%
45 - 40;NA;NA;TRUE;nonSA;-0.02 [-0.06, 0.01];90.03%;-0.04 [-0.13, 0.02];90.03%
45 - 40;NA;NA;TRUE;NA;-0.02 [-0.06, 0.00];95.70%;-0.04 [-0.12, 0.01];95.70%
45 - 40;NA;NA;NA;SA;-0.01 [-0.04, 0.01];84.10%;-0.01 [-0.08, 0.02];84.10%
45 - 40;NA;NA;NA;nonSA;-0.00 [-0.03, 0.02];63.88%;-0.01 [-0.08, 0.04];63.88%
45 - 40;NA;NA;NA;NA;-0.00 [-0.03, 0.01];80.73%;-0.01 [-0.08, 0.02];80.73%
50 - 45;NA;NA;FALSE;SA;0.01 [-0.05, 0.05];65.38%;0.02 [-0.11, 0.14];65.38%
