Activity_type,Seasonal,SA,Time_bin,scale,Estimate,ETI_low,ETI_high
NA,FALSE,NA,35,log,0.772977289536719,0.453380465960173,1.09929123570679
NA,FALSE,NA,35,explog,2.16620610962061,1.57362285334631,3.00203756874284
mental,FALSE,SA,40,log,0.563241500874646,0.176842986797481,0.898837079940861
mental,FALSE,SA,40,explog,1.75635653476115,1.19344369438753,2.45674465733238
physical,FALSE,SA,40,log,0.983222125676294,0.649839439864068,1.36433578331183
physical,FALSE,SA,40,explog,2.67305530185031,1.91523334597951,3.9131230984649
NA,FALSE,SA,40,log,0.774546796486326,0.456439948318045,1.09360150332776
NA,FALSE,SA,40,explog,2.16960863729245,1.57844462718267,2.98500524330142
mental,FALSE,nonSA,40,log,0.561953019657611,0.171666229462313,0.903691401749029
mental,FALSE,nonSA,40,explog,1.75409493916072,1.18728151786478,2.46869927437168
physical,FALSE,nonSA,40,log,0.995033828682989,0.65838702120099,1.37367368871902
physical,FALSE,nonSA,40,explog,2.70481584015033,1.93167407520357,3.9498346271133
NA,FALSE,nonSA,40,log,0.777901297981264,0.465841440526327,1.09782575411282
NA,FALSE,nonSA,40,explog,2.17689880613123,1.59335440205819,2.99764134034325
mental,FALSE,NA,40,log,0.562365548661667,0.178209844856313,0.900549230678137
mental,FALSE,NA,40,explog,1.75481870338043,1.19507607787394,2.46095437206228
physical,FALSE,NA,40,log,0.98948147574799,0.657483277830163,1.36782855065385
physical,FALSE,NA,40,explog,2.68983936501779,1.9299291341676,3.92681457353404
NA,FALSE,NA,40,log,0.775612326557843,0.45945569497321,1.09841419603737
NA,FALSE,NA,40,explog,2.17192164695302,1.58321201462311,2.9994058363573
mental,FALSE,SA,45,log,0.572236103590377,0.192330348192934,0.906871107531164
mental,FALSE,SA,45,explog,1.77222550404652,1.21207086523592,2.47656151678436
physical,FALSE,SA,45,log,0.978519637598359,0.649172043567904,1.35559708848619
physical,FALSE,SA,45,explog,2.66051479948971,1.91395552718597,3.87907668615977
NA,FALSE,SA,45,log,0.776643232934148,0.465472737042894,1.0903468373336
NA,FALSE,SA,45,explog,2.17416184873978,1.59276698671294,2.97530584537338
mental,FALSE,nonSA,45,log,0.573611610630811,0.189999080430773,0.910079382363964
mental,FALSE,nonSA,45,explog,1.7746648899664,1.20924855149341,2.48451977073642
physical,FALSE,nonSA,45,log,0.994622727529084,0.666592637439026,1.35936631635913
physical,FALSE,nonSA,45,explog,2.70370411642732,1.94758987903865,3.89372515363045
NA,FALSE,nonSA,45,log,0.781763245602768,0.471890922420681,1.10164192358698
NA,FALSE,nonSA,45,explog,2.18532213090616,1.6030225299534,3.00910279098243
mental,FALSE,NA,45,log,0.572687039131435,0.196039308027969,0.905816082415829
mental,FALSE,NA,45,explog,1.77302485964809,1.21657472908378,2.47395005553063
physical,FALSE,NA,45,log,0.985307091224445,0.658452840620336,1.35966078279003
physical,FALSE,NA,45,explog,2.67863434323047,1.93180122360011,3.89487190017967
NA,FALSE,NA,45,log,0.778682592115564,0.471572830021771,1.09321374697097
NA,FALSE,NA,45,explog,2.17860026896628,1.60251269996793,2.98384808050582
mental,FALSE,SA,50,log,0.591001066057832,0.228594904217111,0.916159305053651
mental,FALSE,SA,50,explog,1.80579523127352,1.25683281156036,2.49967151133076
physical,FALSE,SA,50,log,0.974730625333308,0.655102934147527,1.34386365451517
physical,FALSE,SA,50,explog,2.65045314992262,1.92534069048902,3.83382754401308
NA,FALSE,SA,50,log,0.782949942534572,0.487405950802555,1.08653897379253
NA,FALSE,SA,50,explog,2.18791699172517,1.62808739869672,2.9639978662981
mental,FALSE,nonSA,50,log,0.592472106898295,0.232458965351723,0.923494956909293
mental,FALSE,nonSA,50,explog,1.80845359206629,1.26169867604681,2.51807559851749
physical,FALSE,nonSA,50,log,0.994060636427191,0.670447905412109,1.35290686988533
physical,FALSE,nonSA,50,explog,2.70218481561896,1.95511289193099,3.86865488127079
NA,FALSE,nonSA,50,log,0.79253142563176,0.497046339154216,1.09623455378796
NA,FALSE,nonSA,50,explog,2.20898122622689,1.64385869934511,2.99287526951838
mental,FALSE,NA,50,log,0.591726377569388,0.228786827688282,0.9209139758399
mental,FALSE,NA,50,explog,1.80710548588312,1.25707404830922,2.51158489567343
physical,FALSE,NA,50,log,0.98335284260909,0.663170724657794,1.34679726439664
physical,FALSE,NA,50,explog,2.67340473861244,1.94093678544884,3.84509098493442
NA,FALSE,NA,50,log,0.787038459180021,0.495077164958499,1.08793466874655
NA,FALSE,NA,50,explog,2.19688063240186,1.64062483444926,2.96813758048079
mental,FALSE,SA,55,log,0.621156278281769,0.27425975922984,0.937766248704468
mental,FALSE,SA,55,explog,1.8610787231495,1.31555650042836,2.55426943958019
physical,FALSE,SA,55,log,0.961612357656385,0.638646545267029,1.32148755169552
physical,FALSE,SA,55,explog,2.61591086254713,1.89391581760018,3.74899407396564
NA,FALSE,SA,55,log,0.79343682983706,0.503139193329274,1.08769826995101
NA,FALSE,SA,55,explog,2.21098215279555,1.65390512074815,2.9674360444679
mental,FALSE,nonSA,55,log,0.624602611384107,0.271341288823588,0.948526369180248
mental,FALSE,nonSA,55,explog,1.86750368543904,1.31172269140031,2.58190208407329
physical,FALSE,nonSA,55,log,0.983858185463522,0.659369979431136,1.33745624499906
physical,FALSE,nonSA,55,explog,2.67475606564254,1.93357377514294,3.80934115028343
NA,FALSE,nonSA,55,log,0.804948945362613,0.516344950625556,1.10483587170303
NA,FALSE,nonSA,55,explog,2.23658231000323,1.67589097920719,3.01872899735914
mental,FALSE,NA,55,log,0.622569798196893,0.27488750376843,0.939773379114712
mental,FALSE,NA,55,explog,1.86371125509188,1.31638257936018,2.55940135108954
physical,FALSE,NA,55,log,0.972704779031238,0.650303907616581,1.32600728500012
physical,FALSE,NA,55,explog,2.64508917543096,1.91612306521099,3.76597690410976
