Activity_type,Seasonal,SA,Time_bin,scale,Estimate,ETI_low,ETI_high
physical,NA,SA,45,log,0.765654271722245,0.363206173136196,1.1697606536226
physical,NA,SA,45,explog,2.15040087343148,1.43793243840272,3.22122187279805
physical,FALSE,nonSA,45,log,0.901365008310136,0.499081266342915,1.30516261839328
physical,FALSE,nonSA,45,explog,2.46296278302926,1.64720726244583,3.68828884437231
physical,TRUE,nonSA,45,log,0.793494785589771,0.395937182251128,1.19333976576021
physical,TRUE,nonSA,45,explog,2.21111030778383,1.48577598153472,3.29807766539637
physical,NA,nonSA,45,log,0.847145872620949,0.44664560164645,1.24490476138362
physical,NA,nonSA,45,explog,2.33297872217464,1.56306025630628,3.47260410400424
physical,FALSE,NA,45,log,0.900000851949937,0.497749152929856,1.29665993274799
physical,FALSE,NA,45,explog,2.45960522896326,1.64501443572472,3.65706141473883
physical,TRUE,NA,45,log,0.712811867970724,0.316458972638877,1.11105661089523
physical,TRUE,NA,45,explog,2.0397186232939,1.37225994256772,3.03756628411661
physical,NA,NA,45,log,0.804977690214833,0.410939589153202,1.20594354650072
physical,NA,NA,45,explog,2.23664660276829,1.50823427395573,3.33990979135616
physical,FALSE,SA,50,log,0.906381621466814,0.492296460506554,1.30363187728081
physical,FALSE,SA,50,explog,2.4753495586003,1.63606912069488,3.68264733464136
physical,TRUE,SA,50,log,0.596119865584305,0.186322026786763,0.995476706280168
physical,TRUE,SA,50,explog,1.81506243320351,1.20481020367662,2.70601783244075
physical,NA,SA,50,log,0.751866960685297,0.343077673663284,1.14736816133303
physical,NA,SA,50,explog,2.12095606442622,1.40927822846896,3.14989198803226
physical,FALSE,nonSA,50,log,0.913239184724985,0.510611148273886,1.31330531675348
physical,FALSE,nonSA,50,explog,2.49238276022532,1.66630925186258,3.71844451786586
